frame,object_id,object_type,x,y,area,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_width,bbox_height,window_index,window_start_frame,local_frame,sam3_track_id,text_prompt
10,robot_001,robot,736.0488165680473,282.2435897435897,2028,709,248,763,309,54,61,0,0,10,0,robot
10,soccer_ball_001,soccer_ball,778.1192052980133,316.6291390728477,151,772,310,785,324,13,14,0,0,10,0,small orange ball
11,robot_001,robot,732.7160975609756,282.2712195121951,2050,706,248,759,309,53,61,0,0,11,0,robot
11,soccer_ball_001,soccer_ball,773.9246575342465,316.2602739726028,146,768,309,781,324,13,15,0,0,11,0,small orange ball
12,robot_001,robot,727.1763236763237,282.6978021978022,2002,701,247,754,309,53,62,0,0,12,0,robot
12,soccer_ball_001,soccer_ball,767.1390728476821,315.0662251655629,151,761,309,774,322,13,13,0,0,12,0,small orange ball
13,robot_001,robot,717.676455948233,281.90343454454955,2009,692,247,744,308,52,61,0,0,13,0,robot
13,soccer_ball_001,soccer_ball,756.6544117647059,313.375,136,751,307,763,321,12,14,0,0,13,0,small orange ball
14,robot_001,robot,711.7339312406577,282.18086696562034,2007,686,247,738,308,52,61,0,0,14,0,robot
14,soccer_ball_001,soccer_ball,750.7132352941177,312.2058823529412,136,745,306,757,319,12,13,0,0,14,0,small orange ball
15,robot_001,robot,705.8303482587065,281.8611940298508,2010,681,247,732,308,51,61,0,0,15,0,robot
15,soccer_ball_001,soccer_ball,744.751677852349,311.53691275167785,149,739,305,752,319,13,14,0,0,15,0,small orange ball
16,robot_001,robot,698.5111473626971,282.26971179989124,1839,673,248,723,307,50,59,1,16,0,0,robot
16,soccer_ball_001,soccer_ball,737.8189655172414,310.33620689655174,116,732,305,744,317,12,12,1,16,0,0,small orange ball
17,robot_001,robot,684.3773684210527,283.6684210526316,1900,660,249,710,309,50,60,1,16,1,0,robot
17,soccer_ball_001,soccer_ball,723.5,308.6,110,719,303,729,315,10,12,1,16,1,0,small orange ball
18,robot_001,robot,678.0282051282052,283.77076923076925,1950,653,248,704,309,51,61,1,16,2,0,robot
18,soccer_ball_001,soccer_ball,716.5681818181819,308.2878787878788,132,711,302,723,315,12,13,1,16,2,0,small orange ball
19,robot_001,robot,671.5107142857142,284.325,1960,647,248,697,310,50,62,1,16,3,0,robot
19,soccer_ball_001,soccer_ball,710.488188976378,307.68503937007875,127,705,302,717,315,12,13,1,16,3,0,small orange ball
20,robot_001,robot,664.980678851175,285.3420365535248,1915,640,250,692,310,52,60,1,16,4,0,robot
20,soccer_ball_001,soccer_ball,704.5811965811965,307.1880341880342,117,699,301,710,314,11,13,1,16,4,0,small orange ball
21,robot_001,robot,653.7743813682679,284.471615720524,2061,628,249,681,311,53,62,1,16,5,0,robot
21,soccer_ball_001,soccer_ball,694.6076923076923,305.7153846153846,130,689,299,701,313,12,14,1,16,5,0,small orange ball
22,robot_001,robot,649.0520059435364,284.96235760277364,2019,623,249,677,311,54,62,1,16,6,0,robot
22,soccer_ball_001,soccer_ball,689.9516129032259,305.3467741935484,124,684,299,696,312,12,13,1,16,6,0,small orange ball
23,robot_001,robot,645.2585858585859,285.64141414141415,1980,619,250,674,311,55,61,1,16,7,0,robot
23,soccer_ball_001,soccer_ball,685.327868852459,305.3360655737705,122,680,299,691,312,11,13,1,16,7,0,small orange ball
24,robot_001,robot,642.2523136872869,285.63029712615685,2053,616,249,671,312,55,63,1,16,8,0,robot
24,soccer_ball_001,soccer_ball,681.4132231404959,305.1652892561983,121,676,299,688,312,12,13,1,16,8,0,small orange ball
25,robot_001,robot,639.0206297502715,288.6905537459284,1842,612,256,667,312,55,56,1,16,9,0,robot
25,soccer_ball_001,soccer_ball,674.5564516129032,305.9274193548387,124,669,300,681,313,12,13,1,16,9,0,small orange ball
26,robot_001,robot,637.6981818181819,288.5116883116883,1925,611,257,666,313,55,56,1,16,10,0,robot
26,soccer_ball_001,soccer_ball,671.4344262295082,306.4508196721312,122,666,301,678,313,12,12,1,16,10,0,small orange ball
27,robot_001,robot,637.8008255933953,288.2466460268318,1938,612,256,666,313,54,57,1,16,11,0,robot
27,soccer_ball_001,soccer_ball,669.2869565217392,306.7217391304348,115,664,301,675,313,11,12,1,16,11,0,small orange ball
28,robot_001,robot,639.0074034902168,288.66314119513487,1891,613,257,667,313,54,56,1,16,12,0,robot
28,soccer_ball_001,soccer_ball,667.6486486486486,307.15315315315314,111,663,301,673,314,10,13,1,16,12,0,small orange ball
29,robot_001,robot,640.8534577387486,288.9714599341383,1822,615,257,669,312,54,55,1,16,13,0,robot
29,soccer_ball_001,soccer_ball,664.8666666666667,307.68333333333334,120,659,302,671,314,12,12,1,16,13,0,small orange ball
30,robot_001,robot,640.6404867256637,289.53926991150445,1808,615,258,668,313,53,55,1,16,14,0,robot
30,soccer_ball_001,soccer_ball,663.8403361344538,307.890756302521,119,658,302,670,315,12,13,1,16,14,0,small orange ball
31,robot_001,robot,639.925925925926,289.726368159204,1809,614,258,667,313,53,55,1,16,15,0,robot
31,soccer_ball_001,soccer_ball,662.7213114754098,308.4344262295082,122,657,302,669,315,12,13,1,16,15,0,small orange ball
32,robot_001,robot,639.4918292040063,289.3510806536637,1897,614,256,667,314,53,58,2,32,0,0,robot
32,soccer_ball_001,soccer_ball,662.3584905660377,308.5,106,657,303,668,315,11,12,2,32,0,0,small orange ball
33,robot_001,robot,639.8704474505723,288.87148803329865,1922,615,255,668,314,53,59,2,32,1,0,robot
33,soccer_ball_001,soccer_ball,660.6822429906542,309.2056074766355,107,656,304,667,316,11,12,2,32,1,0,small orange ball
34,robot_001,robot,641.4752808988763,289.2853932584269,1780,617,257,669,313,52,56,2,32,2,0,robot
34,soccer_ball_001,soccer_ball,660.4705882352941,309.11764705882354,102,655,304,666,315,11,11,2,32,2,0,small orange ball
35,robot_001,robot,642.1300949190396,288.5689558905639,1791,618,256,669,313,51,57,2,32,3,0,robot
35,soccer_ball_001,soccer_ball,659.2543859649123,309.0438596491228,114,654,303,665,315,11,12,2,32,3,0,small orange ball
36,robot_001,robot,643.3011235955056,288.147191011236,1780,620,256,670,313,50,57,2,32,4,0,robot
36,soccer_ball_001,soccer_ball,659.130081300813,309.5121951219512,123,653,304,666,316,13,12,2,32,4,0,small orange ball
37,robot_001,robot,645.2486187845304,288.5646408839779,1810,624,256,670,314,46,58,2,32,5,0,robot
37,soccer_ball_001,soccer_ball,659.659793814433,310.30927835051546,97,655,305,666,316,11,11,2,32,5,0,small orange ball
38,robot_001,robot,645.8611570247934,288.9482093663912,1815,624,257,672,314,48,57,2,32,6,0,robot
38,soccer_ball_001,soccer_ball,660.2403846153846,310.7019230769231,104,655,305,666,317,11,12,2,32,6,0,small orange ball
39,robot_001,robot,645.7754880694143,288.9349240780911,1844,624,256,671,315,47,59,2,32,7,0,robot
39,soccer_ball_001,soccer_ball,660.6168224299065,311.04672897196264,107,655,306,667,317,12,11,2,32,7,0,small orange ball
40,robot_001,robot,645.1227321237993,288.85699039487724,1874,622,254,671,315,49,61,2,32,8,0,robot
40,soccer_ball_001,soccer_ball,661.3523809523809,311.48571428571427,105,656,307,668,317,12,10,2,32,8,0,small orange ball
41,robot_001,robot,642.6430769230769,290.9569230769231,1950,619,254,669,317,50,63,2,32,9,0,robot
41,soccer_ball_001,soccer_ball,661.0,312.43220338983053,118,655,307,667,319,12,12,2,32,9,0,small orange ball
42,robot_001,robot,641.5768249106687,291.59724349157733,1959,618,256,668,317,50,61,2,32,10,0,robot
42,soccer_ball_001,soccer_ball,661.3879310344828,312.8793103448276,116,655,308,668,319,13,11,2,32,10,0,small orange ball
43,robot_001,robot,640.5538996522603,292.41530054644807,2013,617,256,667,319,50,63,2,32,11,0,robot
43,soccer_ball_001,soccer_ball,661.8034188034188,313.14529914529913,117,656,308,668,320,12,12,2,32,11,0,small orange ball
44,robot_001,robot,640.2816346627277,292.768094534712,2031,617,256,667,319,50,63,2,32,12,0,robot
44,soccer_ball_001,soccer_ball,662.3983739837398,313.6422764227642,123,656,308,669,320,13,12,2,32,12,0,small orange ball
45,robot_001,robot,640.5388650453028,294.0133524082022,2097,617,256,667,321,50,65,2,32,13,0,robot
45,soccer_ball_001,soccer_ball,664.2644628099174,314.6611570247934,121,658,308,671,321,13,13,2,32,13,0,small orange ball
46,robot_001,robot,640.1120487576184,295.0014064697609,2133,615,258,668,322,53,64,2,32,14,0,robot
46,soccer_ball_001,soccer_ball,665.1259842519685,315.34645669291336,127,659,309,671,322,12,13,2,32,14,0,small orange ball
47,robot_001,robot,639.6263328697265,295.57209086694485,2157,614,258,668,322,54,64,2,32,15,0,robot
47,soccer_ball_001,soccer_ball,665.8615384615384,315.9692307692308,130,660,310,672,323,12,13,2,32,15,0,small orange ball
48,robot_001,robot,639.0619001919385,296.6017274472169,2084,613,259,667,322,54,63,3,48,0,0,robot
48,soccer_ball_001,soccer_ball,666.2982456140351,315.7719298245614,114,661,310,672,323,11,13,3,48,0,0,small orange ball
49,robot_001,robot,639.0258780036969,295.5554528650647,2164,613,258,667,322,54,64,3,48,1,0,robot
49,soccer_ball_001,soccer_ball,667.0,316.7185185185185,135,661,311,674,324,13,13,3,48,1,0,small orange ball
50,robot_001,robot,639.1445727482679,295.55750577367206,2165,613,257,667,322,54,65,3,48,2,0,robot
50,soccer_ball_001,soccer_ball,667.872,316.928,125,662,311,674,324,12,13,3,48,2,0,small orange ball
51,robot_001,robot,639.2882055988986,295.1349242771914,2179,613,257,668,322,55,65,3,48,3,0,robot
51,soccer_ball_001,soccer_ball,667.6231884057971,317.0652173913044,138,661,311,674,324,13,13,3,48,3,0,small orange ball
52,robot_001,robot,639.8942528735632,294.74528735632185,2175,613,257,669,321,56,64,3,48,4,0,robot
52,soccer_ball_001,soccer_ball,668.2086330935252,317.1438848920863,139,662,311,675,324,13,13,3,48,4,0,small orange ball
53,robot_001,robot,641.1144967682363,293.7096029547553,2166,615,256,670,320,55,64,3,48,5,0,robot
53,soccer_ball_001,soccer_ball,669.1102941176471,318.1029411764706,136,663,312,676,325,13,13,3,48,5,0,small orange ball
54,robot_001,robot,642.6468384074941,292.9255269320843,2135,617,256,670,319,53,63,3,48,6,0,robot
54,soccer_ball_001,soccer_ball,669.3913043478261,318.69565217391306,138,664,312,676,326,12,14,3,48,6,0,small orange ball
55,robot_001,robot,644.2338146250582,292.50069864927804,2147,618,255,672,319,54,64,3,48,7,0,robot
55,soccer_ball_001,soccer_ball,669.5294117647059,318.8235294117647,136,664,312,676,326,12,14,3,48,7,0,small orange ball
56,robot_001,robot,644.8015910154422,292.1661207299953,2137,619,254,673,319,54,65,3,48,8,0,robot
56,soccer_ball_001,soccer_ball,669.5144927536232,319.27536231884056,138,664,312,676,327,12,15,3,48,8,0,small orange ball
57,robot_001,robot,645.5156177156177,291.68158508158507,2145,619,254,674,318,55,64,3,48,9,0,robot
57,soccer_ball_001,soccer_ball,669.4661654135339,320.0,133,664,313,676,327,12,14,3,48,9,0,small orange ball
58,robot_001,robot,644.8031423290204,291.6695933456562,2164,618,254,673,318,55,64,3,48,10,0,robot
58,soccer_ball_001,soccer_ball,669.2335766423357,320.4890510948905,137,664,314,676,328,12,14,3,48,10,0,small orange ball
59,robot_001,robot,644.0706371191136,292.0623268698061,2166,618,254,671,318,53,64,3,48,11,0,robot
59,soccer_ball_001,soccer_ball,669.5289855072464,320.536231884058,138,664,314,676,328,12,14,3,48,11,0,small orange ball
60,robot_001,robot,643.3543417366947,292.82633053221286,2142,618,254,670,319,52,65,3,48,12,0,robot
60,soccer_ball_001,soccer_ball,669.5367647058823,320.7132352941176,136,664,314,676,328,12,14,3,48,12,0,small orange ball
61,robot_001,robot,641.715600552232,293.7036355269213,2173,616,255,669,320,53,65,3,48,13,0,robot
61,soccer_ball_001,soccer_ball,669.4927536231884,321.2028985507246,138,664,315,676,329,12,14,3,48,13,0,small orange ball
62,robot_001,robot,640.6844819503048,295.19596812001873,2133,615,256,668,321,53,65,3,48,14,0,robot
62,soccer_ball_001,soccer_ball,669.2910447761194,321.1044776119403,134,664,315,676,328,12,13,3,48,14,0,small orange ball
63,robot_001,robot,639.4359447004608,295.72073732718894,2170,613,257,667,322,54,65,3,48,15,0,robot
63,soccer_ball_001,soccer_ball,668.9197080291971,321.2846715328467,137,664,315,675,329,11,14,3,48,15,0,small orange ball
64,robot_001,robot,638.4705069124424,295.8345622119816,2170,613,257,666,322,53,65,4,64,0,0,robot
64,soccer_ball_001,soccer_ball,668.7569444444445,321.55555555555554,144,663,315,676,329,13,14,4,64,0,0,small orange ball
65,robot_001,robot,637.3383194016718,297.1126264848218,2273,612,259,665,324,53,65,4,64,1,0,robot
65,soccer_ball_001,soccer_ball,668.1470588235294,321.99264705882354,136,663,315,675,329,12,14,4,64,1,0,small orange ball
66,robot_001,robot,636.7951030927835,297.8500859106529,2328,611,259,665,326,54,67,4,64,2,0,robot
66,soccer_ball_001,soccer_ball,667.9264705882352,322.19117647058823,136,662,316,675,330,13,14,4,64,2,0,small orange ball
67,robot_001,robot,636.9527055815935,298.8231785257776,2347,611,259,665,327,54,68,4,64,3,0,robot
67,soccer_ball_001,soccer_ball,668.1417322834645,322.2913385826772,127,663,316,675,329,12,13,4,64,3,0,small orange ball
68,robot_001,robot,636.9928810720268,299.964824120603,2388,611,260,665,328,54,68,4,64,4,0,robot
68,soccer_ball_001,soccer_ball,668.0333333333333,322.575,120,663,316,674,330,11,14,4,64,4,0,small orange ball
69,robot_001,robot,637.3252131546894,301.34429557450267,2463,611,261,666,330,55,69,4,64,5,0,robot
69,soccer_ball_001,soccer_ball,667.1056910569106,323.1707317073171,123,662,317,673,330,11,13,4,64,5,0,small orange ball
70,robot_001,robot,637.6843813387424,301.894523326572,2465,610,261,667,331,57,70,4,64,6,0,robot
70,soccer_ball_001,soccer_ball,667.0375939849624,323.2706766917293,133,662,317,674,331,12,14,4,64,6,0,small orange ball
71,robot_001,robot,638.1896,301.8096,2500,610,261,668,331,58,70,4,64,7,0,robot
71,soccer_ball_001,soccer_ball,667.0444444444445,323.3703703703704,135,662,317,674,331,12,14,4,64,7,0,small orange ball
72,robot_001,robot,639.2139123441898,301.67189384800963,2487,611,261,669,331,58,70,4,64,8,0,robot
72,soccer_ball_001,soccer_ball,666.9242424242424,323.6666666666667,132,662,317,673,331,11,14,4,64,8,0,small orange ball
73,robot_001,robot,640.5330132052821,301.36614645858344,2499,613,262,670,330,57,68,4,64,9,0,robot
73,soccer_ball_001,soccer_ball,667.060606060606,324.6212121212121,132,662,317,673,332,11,15,4,64,9,0,small orange ball
74,robot_001,robot,641.7373983739838,300.9012195121951,2460,614,261,671,330,57,69,4,64,10,0,robot
74,soccer_ball_001,soccer_ball,666.8115942028985,324.69565217391306,138,661,317,673,332,12,15,4,64,10,0,small orange ball
75,robot_001,robot,642.739396411093,300.48450244698205,2452,615,261,672,329,57,68,4,64,11,0,robot
75,soccer_ball_001,soccer_ball,666.624060150376,325.02255639097746,133,661,318,673,332,12,14,4,64,11,0,small orange ball
76,robot_001,robot,643.4416390728477,300.3646523178808,2416,616,261,673,329,57,68,4,64,12,0,robot
76,soccer_ball_001,soccer_ball,666.452380952381,325.1111111111111,126,661,318,672,332,11,14,4,64,12,0,small orange ball
77,robot_001,robot,646.0848614072495,299.2085287846482,2345,619,260,676,328,57,68,4,64,13,0,robot
77,soccer_ball_001,soccer_ball,665.6857142857143,324.95714285714286,140,660,318,672,332,12,14,4,64,13,0,small orange ball
78,robot_001,robot,646.0877944325482,298.8710920770878,2335,619,260,676,327,57,67,4,64,14,0,robot
78,soccer_ball_001,soccer_ball,665.2564102564103,325.05128205128204,156,659,318,672,333,13,15,4,64,14,0,small orange ball
79,robot_001,robot,646.1107784431138,298.8866552609068,2338,619,260,676,327,57,67,4,64,15,0,robot
79,soccer_ball_001,soccer_ball,665.2564102564103,325.05128205128204,156,659,318,672,333,13,15,4,64,15,0,small orange ball
80,robot_001,robot,645.4485651214128,299.5664459161148,2265,618,261,674,327,56,66,5,80,0,0,robot
80,soccer_ball_001,soccer_ball,665.0192307692307,324.9679487179488,156,659,318,672,333,13,15,5,80,0,0,small orange ball
81,robot_001,robot,643.1116860715825,301.0896938335489,2319,616,261,671,329,55,68,5,80,1,0,robot
81,soccer_ball_001,soccer_ball,664.9664429530201,325.3221476510068,149,659,318,672,333,13,15,5,80,1,0,small orange ball
82,robot_001,robot,641.70055531824,302.0892780862879,2341,615,262,670,330,55,68,5,80,2,0,robot
82,soccer_ball_001,soccer_ball,664.7533333333333,325.18,150,659,318,672,333,13,15,5,80,2,0,small orange ball
83,robot_001,robot,640.6031014249791,303.2455993294216,2386,613,263,669,331,56,68,5,80,3,0,robot
83,soccer_ball_001,soccer_ball,665.1527777777778,325.71527777777777,144,659,318,672,333,13,15,5,80,3,0,small orange ball
84,robot_001,robot,639.5662505034232,303.9234796616996,2483,612,263,669,332,57,69,5,80,4,0,robot
84,soccer_ball_001,soccer_ball,665.9692307692308,326.5769230769231,130,660,320,672,334,12,14,5,80,4,0,small orange ball
85,robot_001,robot,639.3612979817966,305.2445587653344,2527,611,264,669,334,58,70,5,80,5,0,robot
85,soccer_ball_001,soccer_ball,666.2028985507246,327.6521739130435,138,661,321,673,335,12,14,5,80,5,0,small orange ball
86,robot_001,robot,638.9748229740362,305.4720692368214,2542,610,264,669,334,59,70,5,80,6,0,robot
86,soccer_ball_001,soccer_ball,666.3691275167786,328.20805369127515,149,661,321,673,336,12,15,5,80,6,0,small orange ball
87,robot_001,robot,638.9005460218409,305.30421216848674,2564,610,264,670,334,60,70,5,80,7,0,robot
87,soccer_ball_001,soccer_ball,666.4722222222222,328.3888888888889,144,661,321,673,336,12,15,5,80,7,0,small orange ball
88,robot_001,robot,639.1176470588235,305.18188854489165,2584,610,264,670,334,60,70,5,80,8,0,robot
88,soccer_ball_001,soccer_ball,666.5069444444445,328.77777777777777,144,661,322,673,337,12,15,5,80,8,0,small orange ball
89,robot_001,robot,639.9137055837564,305.05271378367826,2561,611,264,670,334,59,70,5,80,9,0,robot
89,soccer_ball_001,soccer_ball,666.4817518248175,329.26277372262774,137,661,322,672,337,11,15,5,80,9,0,small orange ball
90,robot_001,robot,640.7417711598746,304.5830721003135,2552,612,264,671,334,59,70,5,80,10,0,robot
90,soccer_ball_001,soccer_ball,666.9929078014185,329.90070921985813,141,662,323,673,338,11,15,5,80,10,0,small orange ball
91,robot_001,robot,641.1282051282051,304.2745562130178,2535,612,264,672,333,60,69,5,80,11,0,robot
91,soccer_ball_001,soccer_ball,666.4836601307189,330.2549019607843,153,661,323,673,338,12,15,5,80,11,0,small orange ball
92,robot_001,robot,642.0652689873418,303.86194620253167,2528,613,264,672,333,59,69,5,80,12,0,robot
92,soccer_ball_001,soccer_ball,666.4129032258064,330.5741935483871,155,661,323,673,339,12,16,5,80,12,0,small orange ball
93,robot_001,robot,643.8106815464329,302.89996014348344,2509,615,263,674,332,59,69,5,80,13,0,robot
93,soccer_ball_001,soccer_ball,666.0196078431372,331.32026143790847,153,660,324,673,339,13,15,5,80,13,0,small orange ball
94,robot_001,robot,643.8530595813204,302.79468599033817,2484,615,263,674,332,59,69,5,80,14,0,robot
94,soccer_ball_001,soccer_ball,665.8101265822785,331.2658227848101,158,659,324,673,339,14,15,5,80,14,0,small orange ball
95,robot_001,robot,643.9633251833741,303.07416462917683,2454,616,263,673,332,57,69,5,80,15,0,robot
95,soccer_ball_001,soccer_ball,665.19375,331.4125,160,659,324,672,340,13,16,5,80,15,0,small orange ball
96,robot_001,robot,644.4379032258065,305.7048387096774,2480,616,264,672,339,56,75,6,96,0,0,robot
97,robot_001,robot,644.6402157164869,306.56856702619416,2596,616,264,673,339,57,75,6,96,1,0,robot
98,robot_001,robot,644.35960591133,306.74384236453204,2639,616,264,673,339,57,75,6,96,2,0,robot
99,robot_001,robot,643.9950720242608,307.41357088703563,2638,615,265,673,339,58,74,6,96,3,0,robot
100,robot_001,robot,644.0640879787637,307.8968524838832,2637,616,265,672,339,56,74,6,96,4,0,robot
101,robot_001,robot,643.7866666666666,309.49925925925925,2700,615,266,673,340,58,74,6,96,5,0,robot
101,soccer_ball_001,soccer_ball,665.5,331.6488095238095,168,659,324,673,340,14,16,6,96,5,0,small orange ball
102,robot_001,robot,643.9006622516556,310.6648270787344,2718,615,266,674,340,59,74,6,96,6,0,robot
102,soccer_ball_001,soccer_ball,665.921052631579,332.5394736842105,152,660,326,673,340,13,14,6,96,6,0,small orange ball
103,robot_001,robot,643.718523878437,311.4808248914616,2764,615,267,675,340,60,73,6,96,7,0,robot
103,soccer_ball_001,soccer_ball,667.8780487804878,333.1056910569106,123,663,327,675,340,12,13,6,96,7,0,small orange ball
104,robot_001,robot,643.9394904458599,312.6804670912951,2826,614,268,676,341,62,73,6,96,8,0,robot
104,soccer_ball_001,soccer_ball,669.7372881355932,333.73728813559325,118,665,327,676,341,11,14,6,96,8,0,small orange ball
105,robot_001,robot,646.5355434039644,314.0980861244019,2926,616,268,680,343,64,75,6,96,9,0,robot
105,soccer_ball_001,soccer_ball,672.9006622516556,335.89403973509934,151,667,329,680,344,13,15,6,96,9,0,small orange ball
106,robot_001,robot,646.9669007021063,314.5576730190572,2991,615,269,682,344,67,75,6,96,10,0,robot
106,soccer_ball_001,soccer_ball,674.2721518987341,336.2974683544304,158,668,329,682,344,14,15,6,96,10,0,small orange ball
107,robot_001,robot,646.8160285528877,315.37151200519145,3082,614,270,683,345,69,75,6,96,11,0,robot
107,soccer_ball_001,soccer_ball,674.8809523809524,336.9642857142857,168,668,330,683,345,15,15,6,96,11,0,small orange ball
108,robot_001,robot,646.5572883513686,316.424252068746,3142,614,270,685,347,71,77,6,96,12,0,robot
108,soccer_ball_001,soccer_ball,676.9763313609468,338.24852071005915,169,670,331,684,346,14,15,6,96,12,0,small orange ball
109,robot_001,robot,644.4609698403311,319.3069189828504,3382,611,272,689,349,78,77,6,96,13,0,robot
109,soccer_ball_001,soccer_ball,680.8218390804598,341.0287356321839,174,674,334,688,349,14,15,6,96,13,0,small orange ball
110,robot_001,robot,642.0341008452347,320.0335179248033,3431,608,273,691,351,83,78,6,96,14,0,robot
110,soccer_ball_001,soccer_ball,682.6453488372093,341.7848837209302,172,676,335,690,350,14,15,6,96,14,0,small orange ball
111,robot_001,robot,639.9138880835025,321.6120614670919,3449,605,274,692,352,87,78,6,96,15,0,robot
111,soccer_ball_001,soccer_ball,684.5555555555555,342.5497076023392,171,678,336,692,350,14,14,6,96,15,0,small orange ball
112,robot_001,robot,634.9187596899225,320.3181395348837,3225,604,275,668,353,64,78,7,112,0,0,robot
112,soccer_ball_001,soccer_ball,686.80625,343.3375,160,681,336,694,352,13,16,7,112,0,0,small orange ball
113,robot_001,robot,635.0221470316826,321.050138418948,3251,603,276,669,354,66,78,7,112,1,0,robot
113,soccer_ball_001,soccer_ball,690.0372340425532,345.5425531914894,188,683,338,698,354,15,16,7,112,1,0,small orange ball
114,robot_001,robot,636.1893041628684,320.3369796414464,3291,604,275,670,354,66,79,7,112,2,0,robot
114,soccer_ball_001,soccer_ball,691.0052356020942,346.26178010471205,191,684,339,699,355,15,16,7,112,2,0,small orange ball
115,robot_001,robot,637.663354037267,320.0136645962733,3220,606,275,672,353,66,78,7,112,3,0,robot
115,soccer_ball_001,soccer_ball,692.7853403141361,347.3874345549738,191,686,340,701,356,15,16,7,112,3,0,small orange ball
116,robot_001,robot,640.3018925518926,318.9884004884005,3276,608,274,675,353,67,79,7,112,4,0,robot
116,soccer_ball_001,soccer_ball,694.3532608695652,348.33152173913044,184,687,341,702,356,15,15,7,112,4,0,small orange ball
117,robot_001,robot,646.6642066420665,317.23831488314886,3252,614,272,681,351,67,79,7,112,5,0,robot
117,soccer_ball_001,soccer_ball,696.8870967741935,351.3763440860215,186,690,343,704,360,14,17,7,112,5,0,small orange ball
118,robot_001,robot,648.9608990147783,316.8174261083744,3248,617,272,683,350,66,78,7,112,6,0,robot
118,soccer_ball_001,soccer_ball,698.0104712041884,352.4240837696335,191,691,344,706,361,15,17,7,112,6,0,small orange ball
119,robot_001,robot,651.1042813455657,315.90733944954127,3270,619,271,685,349,66,78,7,112,7,0,robot
119,soccer_ball_001,soccer_ball,698.7810945273632,353.4676616915423,201,692,345,706,362,14,17,7,112,7,0,small orange ball
120,robot_001,robot,653.0713192531374,315.1108050198959,3267,621,271,687,348,66,77,7,112,8,0,robot
120,soccer_ball_001,soccer_ball,699.903381642512,354.55555555555554,207,693,347,708,363,15,16,7,112,8,0,small orange ball
121,robot_001,robot,654.3464274667491,314.6467677080111,3233,623,270,688,347,65,77,7,112,9,0,robot
121,soccer_ball_001,soccer_ball,701.8207547169811,357.10849056603774,212,695,349,710,366,15,17,7,112,9,0,small orange ball
122,robot_001,robot,653.0912710566615,314.82756508422665,3265,622,270,686,348,64,78,7,112,10,0,robot
122,soccer_ball_001,soccer_ball,702.2796208530806,358.6255924170616,211,695,351,710,367,15,16,7,112,10,0,small orange ball
123,robot_001,robot,651.7424242424242,315.1521212121212,3300,620,270,685,348,65,78,7,112,11,0,robot
123,soccer_ball_001,soccer_ball,702.9955357142857,359.98214285714283,224,696,352,711,369,15,17,7,112,11,0,small orange ball
124,robot_001,robot,649.0926430517711,316.35967302452315,3303,618,270,682,349,64,79,7,112,12,0,robot
124,soccer_ball_001,soccer_ball,703.1306306306307,361.1171171171171,222,696,353,711,370,15,17,7,112,12,0,small orange ball
